kz_rus_symb_lang	probability
ky	0.6675400733947754
kk	0.4056760370731354
ru	0.7913603186607361
ky	0.549084484577179
tt	0.43428775668144226
kk	0.9665936827659607
ky	0.4917398691177368
ru	0.5606101155281067
ky	0.37363114953041077
sr	0.4823911190032959
ky	0.3252047300338745
ky	0.21290819346904755
ky	0.7525942325592041
myv	0.42947933077812195
tt	0.568768322467804
ky	0.38889554142951965
ky	0.8118867874145508
ru	0.8101339340209961
ru	0.5278633236885071
ky	0.5652124881744385
ky	0.33164966106414795
ru	0.9790070056915283
mhr	0.37668657302856445
mhr	0.37668657302856445
kk	0.9502567648887634
ru	0.5969665050506592
kk	0.41722574830055237
ky	0.5316390991210938
ru	0.8049681186676025
ru	0.7739612460136414
ru	0.8809241652488708
ru	0.4870002865791321
ba	0.5233877301216125
ky	0.5461366772651672
ru	0.5076373219490051
ky	0.984321653842926
mn	0.3512669801712036
mn	0.4846958518028259
ru	0.36752447485923767
kk	0.2972559630870819
ru	0.3395310640335083
ru	0.4568464159965515
uk	0.42281123995780945
ky	0.8814058899879456
kk	0.5377463698387146
ru	0.9586793780326843
ru	0.5772652626037598
mk	0.5036609768867493
ru	0.3239246606826782
tt	0.308319091796875
mk	0.3280535340309143
ky	0.5570375919342041
kk	0.6626355051994324
kk	0.410302072763443
ky	0.8493582010269165
mn	0.4269650876522064
kk	0.35096657276153564
kk	0.6559961438179016
ru	0.7709912061691284
ky	0.49197131395339966
kk	0.5152745246887207
kk	0.6449192762374878
kk	0.7219822406768799
ky	0.5761693120002747
kk	0.5471197366714478
kk	0.9528248906135559
tt	0.7272621393203735
ru	0.64774489402771
ky	0.9098644852638245
kk	0.490122526884079
ky	0.896251380443573
kk	0.7418493628501892
ru	0.713293194770813
ru	0.23650851845741272
kk	0.7428122758865356
ky	0.610328197479248
tt	0.5360220074653625
ru	0.3990027606487274
kk	0.569719135761261
mk	0.5001533031463623
ru	0.8982546329498291
ru	0.5466365814208984
mk	0.667551577091217
ru	0.5540340542793274
kk	0.7007882595062256
ru	0.7790911793708801
kk	0.9125111699104309
ru	0.4790702164173126
ru	0.3131827712059021
ru	0.3131827712059021
ru	0.8735575079917908
ru	0.9379783272743225
ky	0.5407044291496277
ru	0.7719100713729858
kk	0.8656665682792664
kk	0.5525990128517151
ru	0.5923384428024292
ky	0.7838327288627625
sr	0.877860426902771
kk	0.6197021007537842
kk	0.8753814697265625
ky	0.7309327721595764
ky	0.4971296191215515
ky	0.4971296191215515
sr	0.6291558742523193
ky	0.6574908494949341
ky	0.6920566558837891
tt	0.6065070033073425
tt	0.6127108335494995
ky	0.5501211881637573
ru	0.4990808367729187
ky	0.9156102538108826
ky	0.6082224249839783
ky	0.9064537882804871
ba	0.4740268588066101
kk	0.5744805932044983
ba	0.6072573661804199
ky	0.5796389579772949
kk	0.531770646572113
kk	0.43285420536994934
ky	0.5319633483886719
kk	0.3739239275455475
ba	0.4965156614780426
ky	0.6823606491088867
mk	0.38671883940696716
ru	0.6925349235534668
ky	0.7359293699264526
kk	0.9191311597824097
kk	0.9772859215736389
