id	sentence	id_tr	sentence_tr
1183470	Sizә söz verirәm.	1183471	Я даю вам слово.
1183474	Başınızdan çıxardın!	1183476	Не берите в голову!
2148346	Dekabr ilin son ayıdır.	616265	Декабрь - последний месяц года.
2148360	Yanvar, fevral, mart, aprel, may, iyun, iyul, avqust, sentyabr, oktyabr, noyabr və dekabr ilin on iki ayıdır.	1398135	Январь, февраль, март, апрель, май, июнь, июль, август, сентябрь, октябрь, ноябрь и декабрь составляют двенадцать месяцев в году.
2148365	Qış ayları dekabr, yanvar və fevraldır.	1564291	Зимние месяцы - декабрь, январь, февраль.
2342004	Tom indi harada?	2342001	Где сейчас Том?
2415350	Harada telefon budkası tapa bilərəm?	2363902	Где я могу найти телефонную будку?
2415365	Bizim vaxtımız məhduddur.	2187605	Наше время ограничено.
2423267	Çörək dükanı haradadır?	2123832	Где пекарня?
2423313	Səni səvirəm.	827827	Я тебя люблю.
2423513	Bu karandaş ağdır.	2423503	Этот карандаш белый.
2603294	Xəstəxanalar çox bahalı.	2382529	Больницы очень дорогие.
2693121	Qatıq ləzzətli.	2518253	Йогурт вкусный.
2705369	Mən qadınam.	740238	Я женщина.
2766215	Hansı yaxşıdır?	2766219	Что лучше?
2774924	Bütün heyvanlar bərabərdir.	2774916	Все животные равны.
2852638	Mən jurnalistəm.	788594	Я журналист.
2883653	Bu bir çox adamı təəccübləndirdi.	2152302	Это удивило многих людей.
2883661	Mənimlə danışma!	961782	Не разговаривай со мной!
2887963	Makiyajsız belə çox xoşdur.	1534582	Даже без косметики она очень мила.
3085042	Allah köməkçiniz olsun!	535053	Бог в помощь!
2693128	Sağ ol, yaxşıyam.	690282	Спасибо, хорошо.
9201044	Salam.	466961	Добрый день.
3392730	Mənim qırmızı bir evim var.	2877717	У меня есть красный дом.
3392731	Qırmızı bir evim var.	2877717	У меня есть красный дом.
3453086	Çin dilini öyrənirik.	551309	Мы учим китайский.
3664203	Dənizdə adalar var.	3663264	В море есть острова.
3664204	Dənizdə adalar yerləşir.	3663264	В море есть острова.
3807066	Tom səmimidir.	2584334	Том искренен.
3839162	Mən pendir yeyirəm.	3869171	Я кушаю сыр.
2413885	Çörək təzədir.	3922278	Хлеб свежий.
3986481	Biz orada olmuşuq.	3986190	Мы были там.
3986483	Biz orada idik.	3986190	Мы были там.
3986735	Tom siyasətlə maraqlanmır.	2698412	Том не интересуется политикой.
3988756	Qan analizi verməkdən zəhləm gedir.	2926614	Я ненавижу сдавать анализы крови.
