id	sentence	id_tr	sentence_tr
337709	Злучаныя Штаты мяжуюць з Канадай.	409783	Соединённые Штаты граничат с Канадой.
340237	Распаўсюджвайце эсперанта!	340235	Распространяйте эсперанто!
380608	Ты хацеў расказаць мне пра свабоду?	646286	Ты хотел рассказать мне о свободе?
380609	Яго аргумент быў далёка не рацыянальны.	3286692	Его аргумент был далеко не рациональным.
380610	Там хтосьці ёсць?	2170515	Там кто-то есть?
380611	Дайце мне бутэльку віна.	388074	Дайте мне бутылку вина.
380613	Гэта самая абсурдная ідэя, якую я чуў.	1874227	Это самая абсурдная идея, которую я слышал.
380614	У мазгоў складаная структура.	3286701	У мозга сложная структура.
380615	Я люблю гэтую кнігу больш за ўсё.	3286706	Я люблю эту книгу больше всего.
380616	Якая самая высокая гара ў Паўночнай Амерыцы?	1874226	Какая самая высокая гора в Северной Америке?
380617	Нават японцы могуць памыліцца, калі размаўляюць па-японску.	1874225	Даже японцы могут ошибиться, когда разговаривают по-японски.
380927	Я вельмі сумую па табе.	667372	Я очень скучаю по тебе.
380962	Я прачнуўся і ўбачыў у пакоі злодзея.	380961	Я проснулся и обнаружил в комнате вора.
380963	Адрамантуй гадзіннік.	380964	Почини часы.
382266	Усе людзi нараджаюцца свабоднымi i роўнымi ў сваёй годнасцi i правах. Яны надзелены розумам i сумленнем i павiнны ставiцца адзiн да аднаго ў духу брацтва.	382264	Все люди рождаются свободными и равными в своем достоинстве и правах. Они наделены разумом и совестью и должны поступать в отношении друг друга в духе братства.
382292	Адзін, два, тры, чатыры, пяць, шэсць, сем, восем, дзевяць, дзесяць.	382289	Один, два, три, четыре, пять, шесть, семь, восемь, девять, десять.
382542	Я падрыхтаваў слабы водны раствор цукру.	1874228	Я подготовил слабый водный раствор сахара.
383268	Я не ведаю, калі Боб прыехаў у Японію.	383269	Я не знаю, когда Боб приехал в Японию.
383271	Я не ведаю.	414650	Я не знаю.
383272	Мяне завуць Джэк.	5633	Меня зовут Джек.
383273	«Кот?» — спытаў стары.	3290312	"Кот?" - спросил старик.
383710	Гэтая праблема сапраўды патрабуе рашэння, але гэта тое ж, што страляць з гармат па вераб'ях.	383709	Эта проблема действительно требует решения, но это как стрельба из пушки по воробьям.
384259	Я вярнуўся ў Японію.	384260	Я вернулся в Японию.
384273	У пакоі не было нічога, акрамя старога крэсла.	351222	В комнате не было ничего, кроме старого стула.
384274	У англійскай шмат запазычанняў з французскай.	388070	В английском много заимствований из французского.
384311	Тоні размаўляе па-англійску лепей за мяне.	384307	Тони говорит по-английски лучше, чем я.
384317	Груба жартаваць з свайго начальніка на людзях.	384316	Грубо шутить над своим начальником на людях.
384348	Магу я паглядзець на Ваш пашпарт?	3290318	Могу я взглянуть на Ваш паспорт?
385262	Ён злодзей.	470387	Он вор.
385264	Новы тунэль злучыць Брытанію і Францыю.	3290322	Новый тоннель соединит Британию и Францию.
385265	То быў злы трус.	3290325	То был злой кролик.
385266	Гэта быў злы заяц.	3290333	Это был злой заяц.
385267	Мы думаем, што Венецыя — цудоўны горад.	3290338	Мы думаем, что Венеция - чудесный город.
385268	Дзе яно схавана?	3290342	Где оно спрятано?
385269	Ты ведаеш, дзе ён купіў свой фотаапарат?	3290344	Ты знаешь, где он купил свой фотоаппарат?
385270	Яны прыйшлі да вываду, што ён збрахаў.	3290347	Они пришли к выводу, что он соврал.
