id	sentence	id_tr	sentence_tr
348092	მობრძანდით.	2878305	Входите!
348095	კეთილი იყოს თქვენი მობრძანება!	348097	Добро пожаловать!
348206	როგორ ლაპარაკობს!	2869541	Как говорит!
348225	მოკლედ ის არასწორი იყო.	2869526	Короче, он был не прав.
373346	გამარჯობა.	402430	Здравствуй.
389436	როგორა ხარ?	2900081	Как ты?
389436	როგორა ხარ?	567320	Как у тебя дела?
477092	დიახ.	478743	Да.
486611	აქ რომ დავაყენო შეიძლება?	466557	Могу я здесь припарковаться?
486634	აახვიე აქედან!	390451	Пошёл на хуй!
486686	ეს სიტყვების თამაშია.	5613	Это игра слов.
1441056	ხმალი მინდა!	1361998	Я хочу меч!
2181633	არასოდეს დაწეროთ სიტყვები ''ბორშჩი'' და ''შჩი'' გერმანულად!	1937216	Никогда не пишите слова "борщ" и "щи" по-немецки!
2229216	მე რუსეთიდან ვარ.	803608	Я из России.
2229229	მე აქ ვჭამ.	2878246	Я здесь ем.
2311250	სად არის სახლი?	2297643	Где дом?
2311255	ისინი დებია.	2297661	Они – сёстры.
2311257	ზღვა ლურჯია.	2297639	Море – синее.
2311259	მე ადამიანი ვარ.	2297638	Я – человек.
2504041	წასვლა არ გინდა?	2869542	Не хочешь идти?
2504041	წასვლა არ გინდა?	2878306	Ты не хочешь идти?
2506516	რასაკვირველია.	825790	Конечно!
2506516	რასაკვირველია.	2878309	Действительно.
2605802	რას სწავლობს სოვეტოლოგი?	2604280	Что изучает советолог?
2626697	ეს ჩემი მაგიდაა.	2792448	Это мой стол.
7750162	ქართული იცი?	2896685	Ты знаешь грузинский?
2750842	ოთხი საათია.	2869530	Четыре часа.
2750842	ოთხი საათია.	2749467	Сейчас четыре часа.
2750854	ათი საათია.	2877783	10 часов.
2750858	თორმეტი საათია.	2877782	Сейчас 12 часов.
2750868	მე ვარ სახლში.	418376	Я дома.
2750881	„სად ცხოვრობ შენ?“ „მე ტოკიოში ვცხოვრობ.“	2877723	«Ты где живешь?» — «Я живу в Токио».
2750897	ბევრი მეგობარი მყავს.	614957	У меня много друзей.
2750912	ლურჯი სახლი მაქვს.	2877719	У меня есть синий дом.
2750915	წითელი სახლი მაქვს.	2877717	У меня есть красный дом.
2750917	მწვანე სახლი მაქვს.	2877716	У меня есть зеленый дом.
2750922	ლამაზი გოგო ხარ.	2877714	Ты - красивая девушка.
2750923	სახლი მაქვს.	2749493	У меня есть дом.
2750926	დიდი სახლი მაქვს.	2877708	У меня есть большой дом.
2759605	დელფინები ძალიან ჭკვიანი არიან.	2759351	Дельфины очень умные.
2772638	მაგიდა მწვანეა.	2869535	Стол - зеленый.
2782464	წიგნი მინდა.	2844234	Мне нужна книга.
2782465	წიგნი მინდა. სად არის წიგნის მაღაზია?	2877692	Хочу книгу. Где книжный магазин?
2782723	ვაშლი მინდა.	2877686	Яблоко хочу.
2789142	სტუდენტი სოციოლოგიას სწავლობს.	2896646	Студент изучает социологию.
2789147	მე ვარ ჟურნალისტი.	667379	Я - журналист.
2789150	რა არის სიყვარული?	1863375	Что такое любовь?
2789151	ყველი ყვითელია.	2896642	Сыр желтый.
2789152	სოფელში ძროხა არის.	2877675	В деревне есть корова.
2789199	ამ ქუჩას რა ქვია?	351799	Как называется эта улица?
2789204	კატა წიგნს კითხულობს.	2877673	Кошка читает книгу.
2789205	დათვი ვაშლს ჭამს.	2877672	Медведь яблоко ест.
2789206	ისინი ვაშლებს ჭამენ.	2877671	Они едят яблоки.
2789207	ძაღლი ვაშლს ჭამს.	2793843	Собака ест яблоко.
2789209	მე არ მიყვარს ექიმები.	2877657	Я не люблю врачей.
2789215	ისინი ჩემი დები არიან.	2426002	Они мои сёстры.
2789218	ჩემი სახელია რიკარდო.	2877650	Меня зовут Рикардо.
2789218	ჩემი სახელია რიკარდო.	2877651	Мое имя Рикардо.
2789403	ეს კარგი პასუხია.	2877646	Это хороший ответ.
2789410	დღეს კარგი ამინდია.	1467117	Сегодня хорошая погода.
2789416	მელანი ახლავე და­კა­ვე­ბუ­ლია.	2869575	Прямо сейчас Мелани занята.
2789416	მელანი ახლავე და­კა­ვე­ბუ­ლია.	2877639	Мелани сейчас занята.
2790065	მელანი ვაშლს ჭამს.	2790060	Мелани ест яблоко.
2790124	მე მიყვარს შენი ჩანთა.	2869571	Мне нравится твоя сумка.
2790126	მე ლამაზი ვარ?	2869568	Я - красивый?
2790126	მე ლამაზი ვარ?	2869569	Я - красивая?
2791827	მადლობა!	374869	Спасибо!
2852609	დღეს თბილი ამინდი იყო.	2869564	Сегодня было тепло.
2852614	ორი კვირის წინ მე პირველად დისნეილენდს ვიყავი.	2869562	Две недели назад я впервые был в Диснейленде.
2852614	ორი კვირის წინ მე პირველად დისნეილენდს ვიყავი.	2869563	Две недели назад я впервые была в Диснейленде.
2852621	ემილი ხარ.	2877610	Ты Эмили.
2852622	მე მელანი ვარ.	2869524	Меня зовут Мелани.
2852622	მე მელანი ვარ.	2869525	Я Мелани.
2852629	მე წერილს ვწერ ჩემი ქალიშვილისთვის.	2877592	Я пишу письмо своей девушке.
2852634	ჟურნალისტები ვართ.	2869551	Мы - журналисты.
2852636	ჩემი ბიძაშვილი ჟურნალისტია.	2869549	Ребенок моего дяди - журналист.
2852813	რა გქვიათ?	2869547	Как вас зовут?
2853433	ამერიკელი ხართ?	2869546	Вы американец?
2853434	შენ ამერიკელი ხარ?	3965415	Ты американец?
3034100	არჩევანი არ მაქვს.	2824233	У меня нет выбора.
3493109	ჩემი ოცნებაა საქართველოში ჩასვლა.	3493110	Мечтаю поехать в Грузию.
3794881	შრომამ შექმნა ადამიანი.	3794879	Труд создал человека.
4516137	შევძლებ ესპერანტოს მალე შესწავლას?	2585170	Могу ли я быстро выучить эсперанто?
4516167	ის ცხოვრებისთვის მასწავლებლობით გამოიმუშავებს.	2461104	Он зарабатывает себе на жизнь преподаванием.
4516172	ეხლა მე თქვენ გეტყვით სიმართლეს.	2827384	Сейчас я скажу вам правду.
3140501	რძეს ვსვამ.	3132274	Я пью молоко.
2506493	ერთი, ორი, სამი, ოთხი, ხუთი, ექვსი, შვიდი, რვა, ცხრა, ათი.	382289	Один, два, три, четыре, пять, шесть, семь, восемь, девять, десять.
2506566	თქვენ მომღერალი ხართ.	5218116	Вы певец.
2506564	შენ მომღერალი ხარ.	2035891	Ты певец.
507961	ტელევიზორი ჩართულია.	3321935	Телевизор включён.
7700754	ახლა ეკლესიაში მიდიან.	7700528	Сейчас они идут в церковь.
7749590	რამდენ ხანს ცხოვრობთ შვედეთში?	7748289	Как долго вы живете в Швеции?
7750174	გუშინ ბრინჯი შევჭამე.	7371456	Вчера я ел рис.
8086466	მე ვცხოვრობ აქ.	5211803	Я живу здесь.
8086467	მე ვცხოვრობ აქ მარტო.	2629958	Я живу здесь один.
8086467	მე ვცხოვრობ აქ მარტო.	2629959	Я живу здесь одна.
8086469	ახლა მე ვცხოვრობ აქ.	6161329	Сейчас я живу здесь.
8086470	მე ვცხოვრობ აქ ბევრი წელი.	3519070	Я живу здесь много лет.
8086471	მე ვცხოვრობ აქ ათი წელი.	7948990	Я живу здесь десять лет.
8086472	მე ვცხოვრობ აქ უკვე ათი წელი.	7948989	Я живу здесь уже десять лет.
2923775	მე აქ ვცხოვრობ.	7812060	Здесь я живу.
8086476	სად ხარ?	396723	Где ты?
8086477	სად ცხოვრობ?	692671	Где ты живёшь?
8086478	სად დაიბადე?	808495	Где ты родился?
8090866	მოვილაპარაკეთ?	4416676	Мы договорились?
8090868	ჩვენ მოვილაპარაკეთ თანხაზე.	4479582	Мы договорились о цене.
8090869	ჩვენ ერთმანეთთან მოვილაპარაკეთ.	4875540	Мы договорились между собой.
8090870	ჩვენ ვერანაირად ვერ შევძლებთ მოლაპარაკებას.	7594734	Мы никак не можем договориться.
8090871	მე ეს უნდა მოვძებნო.	5503697	Я должен это найти.
8090872	ახლა ამაზე საუბარი არ მინდა.	3616189	Я не хочу говорить об этом сейчас.
8090874	შენთან ამაზე ლაპარაკი არ მინდა.	5660719	Я не хочу с тобой об этом говорить.
8090877	მართლა არ მინდა ამაზე საუბარი.	3016405	Я правда не хочу об этом говорить.
