id	sentence	id_tr	sentence_tr
437352	Алматылықтар, балалар үшін мейірімді қала жасайық!	437356	Алматинцы, создадим город, дружественный к детям!
437364	Ерекше атап өт!	437367	Отметь по-особому!
437373	Сименс. Біз әр жанұяға қажетпіз.	437375	Сименс. Мы нужны каждой семье.
437381	Алматы - менің сүйікті қалам!	437382	Алматы - мой любимый город!
437393	Олар бізден барлық қагаз жұмысты өзіне алды.	437395	Они отобрали у нас всю бумажную работу.
437411	Жаңа жылыңызбен!	437406	С Новым годом!
437419	Интернет пен телефонды бір жинақта сатыл ал!	437421	Купи интернет и телефон в одном пакете!
437426	Сен МЕТРО-да жұмыс істегің келе ме?!	437429	Ты хочешь работать в МЕТРО?!
437434	Қош келдіңіздер!	348097	Добро пожаловать!
437440	Сен дәретхана!	437441	Ты туалет!
437445	Алдын ала төлемсіз ал да, артық төлемсіз төле.	437449	Бери без предоплаты, плати без переплаты.
437451	Біздің күшіміз - бірлікте!	437452	Наша сила - в единстве!
438568	Жақа құйылған — ең бастысы.	438569	Свежесть на первом месте.
438571	Еркің өзіңде болсын!	438572	Будь собой!
438574	Батар күннің атар таңы бар.	438575	У каждого дня есть продолжение.
438577	Біздің тарифтеріміз азайтылды!	438578	Наши тарифы стали меньше!
438580	Жоғары білім сапасы ең жоғары халықаралық талаптарға жауап беруі тиіс.	438581	Качество высшего образования должно отвечать самым высоким международным требованиям.
438583	Әзір тамақ жоқ.	438586	Сейчас нету еды.
438587	Мынау кім?	438589	Это кто?
438595	Бұл Қазақстанда жасалған.	438597	Это сделано в Казахстане.
438601	Бұл тамақ.	438602	Это еда.
457805	Бұл Брайан Рок.	457794	Это Брайан Рок.
509821	Сәлем.	402430	Здравствуй.
509821	Сәлем.	466968	Привет!
797259	Мен Жапонияда тұрамын.	426122	Я живу в Японии.
811585	Бүгін сенбi.	468424	Сегодня суббота.
888646	Бiлемiн.	607512	Я знаю.
1356844	Ол өзенде батып кетті.	1356734	Он утонул в реке.
1356847	Бүгін әбетке не жейсің?	1355391	Что ты будешь сегодня на обед?
1356848	Газет қайда?	1354600	Где газета?
1356849	Бұл бүгінгі газет пе?	1352480	Это сегодняшняя газета?
1356850	Қазір соңғы штрихты енгіземін.	1352489	Сейчас я внесу последний штрих.
1356852	Ол көзілдірік киеді.	497523	Он носит очки.
1356855	Кеше не болғаны есіңде жоқ па?	1350985	Ты не помнишь, что случилось вчера?
1356860	Том - солақай, бірақ ол оң қолымен жазады.	1350904	Том - левша, но он пишет правой рукой.
1356864	Қолыңдағы не?	1350893	Что у тебя в руке?
1356870	Қолым лас болған соң жуып тұрмын.	570138	Я мою руки, потому что они грязные.
1356871	Ол оның қолынан ұстады.	1350885	Он взял её за руку.
1356872	Сұрақ қою үшін қолын көтерді.	1350883	Он поднял руку, чтобы задать вопрос.
1356874	Бұл факттар менің гипотезамды растайды.	1349578	Эти факты подтверждают мою гипотезу.
1356877	Мен аш өрмекшімін.	1348666	Я голодный паук.
1356878	Әйеліммен кеңессем ештеңе етпей ме?	1348636	Ничего, если я обсужу это с женой?
1358687	Мен еріншекпін.	1357122	Я ленивый.
1358693	Олар бір сыныптан.	1356895	Они из одного класса.
1358696	Менде айтатын сөзім жоқ.	5419	У меня нет слов.
1358703	Туған күніңмен, Мюриэл!	5414	С днём рождения, Мюриэл!
1358712	Бүгін 18 маусым, енді бұл Мюриэлдің туған күні!	5413	Сегодня 18 июня, и это день рождения Мюриэл!
1358714	Бұл не?	5412	Что это?
1358715	Не істеп отырсың?	5411	Что ты делаешь?
1358717	Күніне 1000 евро табыс табамын.	5433	Я зарабатываю сто евро в день.
1358719	Бұл ештеңені де өзгертпейді.	5431	Это ничего не изменит.
1358730	Бұл жаңа фотография ма?	5424	Это новая фотография?
1358733	Не айтарымды да білмеймін.	5421	Не знаю, что и сказать.
1358739	Мен оларға ертең соғамын, үйге келген соң.	5443	Я позвоню им завтра, когда вернусь домой.
1358744	Мен сені сағындым.	5442	Я скучаю по тебе.
1358747	Өкінішке орай, бұл шындық.	5454	К сожалению, это правда.
1358748	Ешқашан биологияны жақсы көрген емеспін.	5451	Я никогда не любил биологию.
1358749	Мен былай өмір сүре алмаймын.	5449	Я так жить не могу.
1358750	Кеттім.	5446	Я пойду.
1358761	Сенімдісің бе?	5460	Ты уверен?
1358764	Бұл менің жауабым!	5458	Это мой ответ!
1358777	Жоқ, мен емес, сен!	5457	Нет, не я, а ты!
1358781	Мен оны атып тастаймын.	5475	Я пристрелю его.
