id	sentence	id_tr	sentence_tr
437352	Алматылыктар, балалар ушин мейиримди кала жасайык!	437356	Алматинцы, создадим город, дружественный к детям!
437364	Ерекше атап от!	437367	Отметь по-особому!
437373	Сименс. Биз ар жануяга кажетпиз.	437375	Сименс. Мы нужны каждой семье.
437381	Алматы - менин суйикти калам!	437382	Алматы - мой любимый город!
437393	Олар бизден барлык кагаз жумысты озине алды.	437395	Они отобрали у нас всю бумажную работу.
437411	Жана жылынызбен!	437406	С Новым годом!
437419	Интернет пен телефонды бир жинакта сатыл ал!	437421	Купи интернет и телефон в одном пакете!
437426	Сен МЕТРО-да жумыс истегин келе ме?!	437429	Ты хочешь работать в МЕТРО?!
437434	кош келдиниздер!	348097	Добро пожаловать!
437440	Сен даретхана!	437441	Ты туалет!
437445	Алдын ала толемсиз ал да, артык толемсиз толе.	437449	Бери без предоплаты, плати без переплаты.
437451	Биздин кушимиз - бирликте!	437452	Наша сила - в единстве!
438568	Жака куйылган — ен бастысы.	438569	Свежесть на первом месте.
438571	Еркин озинде болсын!	438572	Будь собой!
438574	Батар куннин атар таны бар.	438575	У каждого дня есть продолжение.
438577	Биздин тарифтеримиз азайтылды!	438578	Наши тарифы стали меньше!
438580	Жогары билим сапасы ен жогары халыкаралык талаптарга жауап беруи тиис.	438581	Качество высшего образования должно отвечать самым высоким международным требованиям.
438583	азир тамак жок.	438586	Сейчас нету еды.
438587	Мынау ким?	438589	Это кто?
438595	Бул казакстанда жасалган.	438597	Это сделано в Казахстане.
438601	Бул тамак.	438602	Это еда.
457805	Бул Брайан Рок.	457794	Это Брайан Рок.
509821	Салем.	402430	Здравствуй.
509821	Салем.	466968	Привет!
797259	Мен Жапонияда турамын.	426122	Я живу в Японии.
811585	Бугин сенбi.	468424	Сегодня суббота.
888646	Бiлемiн.	607512	Я знаю.
1356844	Ол озенде батып кетти.	1356734	Он утонул в реке.
1356847	Бугин абетке не жейсин?	1355391	Что ты будешь сегодня на обед?
1356848	Газет кайда?	1354600	Где газета?
1356849	Бул бугинги газет пе?	1352480	Это сегодняшняя газета?
1356850	казир сонгы штрихты енгиземин.	1352489	Сейчас я внесу последний штрих.
1356852	Ол козилдирик киеди.	497523	Он носит очки.
1356855	Кеше не болганы есинде жок па?	1350985	Ты не помнишь, что случилось вчера?
1356860	Том - солакай, бирак ол он колымен жазады.	1350904	Том - левша, но он пишет правой рукой.
1356864	колындагы не?	1350893	Что у тебя в руке?
1356870	колым лас болган сон жуып турмын.	570138	Я мою руки, потому что они грязные.
1356871	Ол онын колынан устады.	1350885	Он взял её за руку.
1356872	Сурак кою ушин колын котерди.	1350883	Он поднял руку, чтобы задать вопрос.
1356874	Бул факттар менин гипотезамды растайды.	1349578	Эти факты подтверждают мою гипотезу.
1356877	Мен аш ормекшимин.	1348666	Я голодный паук.
1356878	айелиммен кенессем ештене етпей ме?	1348636	Ничего, если я обсужу это с женой?
1358687	Мен ериншекпин.	1357122	Я ленивый.
1358693	Олар бир сыныптан.	1356895	Они из одного класса.
1358696	Менде айтатын созим жок.	5419	У меня нет слов.
1358703	Туган кунинмен, Мюриэл!	5414	С днём рождения, Мюриэл!
1358712	Бугин 18 маусым, енди бул Мюриэлдин туган куни!	5413	Сегодня 18 июня, и это день рождения Мюриэл!
1358714	Бул не?	5412	Что это?
1358715	Не истеп отырсын?	5411	Что ты делаешь?
1358717	Кунине 1000 евро табыс табамын.	5433	Я зарабатываю сто евро в день.
1358719	Бул ештенени де озгертпейди.	5431	Это ничего не изменит.
1358730	Бул жана фотография ма?	5424	Это новая фотография?
1358733	Не айтарымды да билмеймин.	5421	Не знаю, что и сказать.
1358739	Мен оларга ертен согамын, уйге келген сон.	5443	Я позвоню им завтра, когда вернусь домой.
1358744	Мен сени сагындым.	5442	Я скучаю по тебе.
1358747	окинишке орай, бул шындык.	5454	К сожалению, это правда.
1358748	Ешкашан биологияны жаксы корген емеспин.	5451	Я никогда не любил биологию.
1358749	Мен былай омир суре алмаймын.	5449	Я так жить не могу.
1358750	Кеттим.	5446	Я пойду.
1358761	Сенимдисин бе?	5460	Ты уверен?
1358764	Бул менин жауабым!	5458	Это мой ответ!
1358777	Жок, мен емес, сен!	5457	Нет, не я, а ты!
1358781	Мен оны атып тастаймын.	5475	Я пристрелю его.
1358785	оскен сон, патша болгым келеди.	5471	Когда я вырасту, я хочу стать королём.
1358788	Бул контекстиге байланысты.	5467	Это зависит от контекста.
1358800	Мен тек айтым отырмын!	5477	Я всего лишь говорю!
1358811	Уакытта аркашан да табуга болады.	5492	Время всегда можно найти.
1358817	Дал солай.	5490	Так оно и есть.
1358822	канша жакын достарын бар?	5488	Сколько у тебя близких друзей?
1358829	Неге сурап турсын?	5502	Почему ты спрашиваешь?
1358835	Бул кызык.	5513	Это интересно.
