id	sentence	id_tr	sentence_tr
348570	Piękne są chmury płynące po niebie.	645817	Красивы тучи, плывущие по небу.
348628	Jak dobrze pójdzie, robię 2-3 sztuki dziennie.	645823	Если хорошо пойдет, делаю 2-3 штуки ежедневно.
348629	Po drodze do domu wpadnę na pocztę.	645827	По дороге домой зайду на почту.
348630	Mam w pokoju niezły burdel.	645828	В моей комнате - полный бардак.
348632	Jestem w ciąży.	645834	Я беременная.
348633	On ją kocha.	645838	Он ее любит.
348634	Nasz nauczyciel zawsze przychodzi punktualnie na zajęcia.	645840	Наш учитель всегда приходит на занятия пунктуально.
348635	Rozdziel te jabłka na trzy osoby.	645842	Раздели эти яблоки на троих.
348636	Jutro mnie nie ma.	645843	Завтра меня не будет.
348638	Idźcie prosto tą ulicą.	645844	Идите прямо по этой улице.
348640	Poprzysiągłem sobie nigdy już się do niej nie odzywać.	645856	Пообещал себе, что никогда не буду с ней разговаривать.
348643	Ależ z ciebie kutwa!	645863	Ну ты и жмот!
348650	To, że jeszcze żyję, zawdzięczam tobie.	645869	Благодаря тебе я еще живой.
348673	Nie wiem.	414650	Я не знаю.
348673	Nie wiem.	524745	Не знаю.
348677	Wszystkie istoty ludzkie rodzą się wolne i równe w godności i prawach. Są one obdarzone rozumem i sumieniem oraz powinny postępować w stosunku do siebie wzajemnie w duchu braterstwa.	382264	Все люди рождаются свободными и равными в своем достоинстве и правах. Они наделены разумом и совестью и должны поступать в отношении друг друга в духе братства.
348699	Nasz ogród był zachwaszczony.	994115	Наш сад зарос сорняками.
348701	Jak dla mnie, Australia jest jednym z najlepszych krajów na świecie.	996597	С моей точки зрения, Австралия - одна из лучших стран в мире.
348706	Mój ojciec jest nieco staromodny.	996599	Мой отец немного старомоден.
348708	Pan Wang jest z Chin.	338486	Г-н Ванг из Китая.
348709	Niestety nie zdążyłem na jego wystąpienie.	996600	К сожалению, я не успел к его выступлению.
348712	Spójrz na ten dym.	337544	Посмотри на тот дым.
348714	Często mówi się, że Japończycy są dobrymi pracownikami.	996601	Часто упоминается, что японцы - хорошие работники.
348715	Udało mi się uzyskać zgodę rodziców na małżeństwo.	996603	Мне удалось получить согласие родителей на брак.
348717	Astronomia zajmuje się gwiazdami i planetami.	993207	Астрономия занимается звёздами и планетами.
348731	On nigdy nie traci nadziei.	412506	Он никогда не теряет надежду.
348736	Uszczęśliwił rodziców.	2586657	Он осчастливил своих родителей.
348744	U nas w styczniu pada śnieg.	337615	У нас в январе идёт снег.
348794	Jaka pogoda?	410523	Как погода?
348798	Czekam godzinami.	1560152	Я жду уже несколько часов.
348818	Kocham cię.	5568	Я люблю тебя!
348818	Kocham cię.	2753270	Я люблю тебя.
348937	Zrób kawy.	1563992	Сделай кофе.
348937	Zrób kawy.	1563994	Свари кофе.
348937	Zrób kawy.	1563995	Приготовь кофе.
348965	Nie chcieć oznacza mieć.	5637	Не желать обладать - всё равно что обладать.
348977	Znalazłem rozwiązanie, ale coś za szybko, więc nie może być poprawne.	5556	Я нашел решение, но я нашел его настолько быстро, что оно определенно не может быть верным.
348997	Gdzie są moje okulary?	444275	Где мои очки?
349029	Jak daleko jest do lotniska?	407495	Как далеко до аэропорта?
349034	Deszcz pada.	408383	Идёт дождь.
349042	Weź książkę i przeczytaj ją!	5648	Возьми книгу и прочитай её!
349044	Zimno.	351532	Холодно.
349045	Odpowiedz na pytanie.	408375	Ответь на вопрос.
349048	Jaką masz grupę krwi?	645338	Какая у тебя группа крови?
349055	Idę.	5446	Я пойду.
349056	Nie, to nie jest mój nowy chłopak.	5561	Нет, это не мой новый бойфренд.
349057	Nie wiem, jak to udowodnić, to zbyt oczywiste.	5552	Я не знаю, как показать это, поскольку это и так вполне ясно.
349059	Mogę się tylko domyślać, czy tak samo sądzą inni.	5439	Я могу только догадываться, так ли это и для всех остальных.
349060	Nie jestem wielkim podróżnikiem.	5582	Во мне нет тяги к путешествиям.
349061	Każdy ma swoje silne i słabe strony.	5585	У каждого есть сильные и слабые стороны.
349072	Świeczka sama zgasła.	355185	Свеча сама погасла.
349105	Zgadzam się.	469797	Я согласен.
349105	Zgadzam się.	580699	Согласен.
349106	Czy mówi pan po włosku?	425286	Вы говорите по-итальянски?
349108	Smacznego!	379023	Приятного аппетита!
349109	Bez wątpienia Wszechświat jest nieskończony.	5629	Нет сомненья: вселенная бесконечна.
349154	Jeśli nawet to nie prawda, to dobrze wymyślone.	1796519	Если это и неправда, то хорошо придумано.
349170	Żeby to osiągnąć, musisz zaryzykować.	1195398	Для того, чтобы достичь этого ты должен пойти на риск.
349175	Nie wracam.	469808	Я не вернусь.
349176	Pić mi się chce.	614946	Я хочу пить.
349183	To niemożliwe!	709161	Это невозможно!
349183	To niemożliwe!	2242784	Быть не может!
349301	„Kim jest ta dziewczyna?” „To Keiko.”	330509	«Кто эта девочка?» — «Это Кейко».
349383	Czas leczy rany.	2269393	Время всё лечит.
349421	Ta szkoła została założona w roku 1650.	337550	Эта школа была основана в 1650 году.
349447	Dlaczego pytasz?	395091	А почему Вы спрашиваете?
