id	sentence	id_tr	sentence_tr
392421	Sensiz hayot barbod.	392271	Жизнь рухнула без тебя.
397204	Сиз хотинни қаерда кўрдингиз?	397348	Где вы видели эту женщину?
397717	Раҳмат!	374869	Спасибо!
423839	Bu narsa nima?	5412	Что это?
423841	Soatlarim qani?	410906	Где мои часы?
423842	Mening soatlarim qani?	410906	Где мои часы?
423858	Nima gap?	5539	Что случилось?
423866	Сенсиз хайот барбод.	392271	Жизнь рухнула без тебя.
423994	Соатларим қани?	410906	Где мои часы?
424002	Менинг соатларим қани?	410906	Где мои часы?
424092	Нима гап?	5539	Что случилось?
425092	Нима ҳодиса бўлди?	5539	Что случилось?
425153	Биз кўпинча шахмат ўйнаймиз.	425149	Мы часто играем в шахматы.
426410	Булар менинг китобларим.	426447	Это мои книги.
426425	Душманнинг душмани дўст.	426423	Враг врага — друг.
426474	Ишламаган тишламас.	426477	Кто не работает, тот не ест.
426599	Нима сабабдан келмадинг?	418718	Почему ты не пришёл?
426602	Нима сабабдан келмадинглар?	426759	Почему вы не пришли?
426695	У ёлғон мухаббат иди.	426756	Это не была настоящая любовь.
426714	Диққат қил!	426749	Будь внимателен!
426715	Диққат қилинг!	426747	Будьте внимательны!
426716	Диққат қилинглар!	426747	Будьте внимательны!
431098	Бу Цао Цаонинг қилвирлики.	431096	Это хитрость Цао Цао.
438592	Бу ким?	438589	Это кто?
438596	Бу Қазақстанда ясалған.	438597	Это сделано в Казахстане.
457795	Бу Брайан Рок.	457794	Это Брайан Рок.
464157	Хитойға қарағанда, Швейцария бир тарк этилган қишлоқ бўлади.	464154	Рядом с Китаем, Швейцария — это покинутая деревня.
465510	Гиламда ухлаш жуда яхши!	465506	Спать на ковре — это класс.
476599	Бу менинг саволим.	476595	Это мой вопрос.
499736	Бола кўпроқ онасига ўхшайди.	499764	Ребёнок больше похож на свою маму.
504295	Бу ишни ёзгартириш керак.	504302	Это надо изменить.
504640	Яна беш минут кутаман.	504636	Я ещё пять минут подожду.
504961	Шакар борми?	504959	Есть сахар?
506174	Ғалаба биз томонда бўлади.	506178	Победа на нашей стороне.
509816	Салам.	402430	Здравствуй.
510217	Онам отға койияптими?	510215	Мама ругается на лошадь?
510217	Онам отға койияптими?	510290	Мама ругает лошадь?
521360	Тафтс дунёнинг энг хавфли университети.	521353	Тафтс — это самый опасный университет в мире.
521709	Go‘l tikansiz bo‘lmaydi.	521711	Нет роз без шипов.
528702	Аммо кофе яхши эмас.	528780	Но кофе — плохое.
528702	Аммо кофе яхши эмас.	528819	Но кофе плохой.
540504	Ванг Лао Жи пиво эмас, чай.	540497	Ван Лао Цзи — это не пиво. Это чай.
